city_id,DMC_name,Mobile,landline,Email,Contact Person ,Emergency Contact  No,Address,State_id,Country,Website,Bank Name,Account Name,Account No,Branch,IFSC/swift Code,PAN/TAN No,Tax No,Opening balance,As Of date,Side
AUSTRALIA,,,,,,,,,,,,,,,,,,,,
,Australia & Beyond Holidays, 61 3 7002 1830,61 407 889 620,leon@aabh.com.au,Mr.Leon Ellas,AUSTRALIA,,,,,,,,,,,,,,
,Aussie Perth Tours,61 433 136 212,61 8 9221 2400,holiday@aussieperthtours.com.au,Mr. Firoz Pestonji,AUSTRALIA,,,,,,,,,,,,,,
,Australian Tours Management,61 411 259 190,61 3 92234601,teh@atmtravel.com.au,Mr. Eng Waa Teh,AUSTRALIA,,,,,,,,,,,,,,
,Australian Tours Management,,61 39662 159,vishal@atmtravels.com.au,Mr.Vishal Malhotra,AUSTRALIA,,,,,,,,,,,,,,
,Aussie Tour Planner,,61 872 000 636,sales@atpinbound.com.au,Mr. Jasbir Singh,AUSTRALIA,,,,,,,,,,,,,,
,Fortune Inbound Tour,,91 8450955550,sales@fortuneinboundtour.com.au,Mr. Chander Chhabriya,AUSTRALIA,,,,,,,,,,,,,,
,Great Aussie Travel & Tours,61 405108100,61 2 9957 1777,victor@greataussietravel.com.au,Mr. Victor Bestawros,AUSTRALIA,,,,,,,,,,,,,,
,H2Oz Travel,,,leonard.tang@h2oztravel.com.au,Mr. Leonard Tang,AUSTRALIA,,,,,,,,,,,,,,
,Holiday Pacific Pty Ltd,,,carl@holidaypacific.com.au,Mr. Carl Mah,AUSTRALIA,,,,,,,,,,,,,,
,Travel Maestro Inbound,96835032,61 2 98902347,khorshed@tminbound.com,Ms Khorshed Poacha,AUSTRALIA,,,,,,,,,,,,,,
,Travel Maestro Inbound,96835032,61 2 98902347,deepa@tminbound.com,Ms. Deepa Kale Shah,AUSTRALIA,,,,,,,,,,,,,,
,Turtle Down Under,,61 430442201,abhisheks@turtledownunder.com.au,Mr. Abhishek Sonthalia,AUSTRALIA,,,,,,,,,,,,,,
,WELTravel (Australia) Pty Ltd,,61 8 9221 2688,Edwin@weltravel.com,Mr. Edwin Kwan,AUSTRALIA,,,,,,,,,,,,,,
,Xplore Australia,91 7506526232/61 4 69137394,61 4 13472536,sales@xploreaustralia.com,Ms. Jina Shah,AUSTRALIA,,,,,,,,,,,,,,
INDIA BASED,AOT Inbound Pty Ltd,91 9833519867,91 22 28220090,mukesh.jagasia@aot.com.au,Mr. Mukesh Jagasia,AUSTRALIA,,,,,,,,,,,,,,
,Aussie Perth Tours,91 98200 91956,,dilshad@aussieperthtours.com.au,Ms. Dilshad Homavazir,AUSTRALIA,,,,,,,,,,,,,,
